conversion_factor,in_mupcl_object,statistic_name,statistic_name_sharppy,is_vector
1.0,True,bulk_richardson_number,brn,False
1.0,True,bulk_richardson_num_denominator_m2_s02,brndenom,False
0.514444444444,True,bulk_richardson_num_shear_m_s01,brnshear,True
1.0,True,buoyancy_column_min_kelvins,bmin,False
1.0,True,cap_strength_kelvins,cap,False
1.0,True,cape_j_kg01,bplus,False
1.0,True,cape_0to3km_agl_j_kg01,b3km,False
1.0,True,cape_0to6km_agl_j_kg01,b6km,False
1.0,True,cape_surface_to_freezing_level_j_kg01,bfzl,False
1.0,True,cin_j_kg01,bminus,False
1.0,False,convective_temperature_kelvins,convT,False
1.0,False,critical_angle_deg,critical_angle,False
1.0,False,cross_totals_kelvins,x_totals,False
1.0,False,derecho_composite_param,dcp,False
1.0,False,downdraft_cape_j_kg01,dcape,False
1.0,False,effective_layer_bottom_metres,ebotm,False
1.0,False,effective_layer_depth_metres,edepthm,False
1.0,False,effective_layer_top_metres,etopm,False
1.0,False,ehi_0to1km_agl_j_kg01,ehi1km,False
1.0,False,ehi_0to3km_agl_j_kg01,ehi3km,False
1.0,False,ehi_effective_layer_left_mover_j_kg01,left_ehi,False
1.0,False,ehi_effective_layer_right_mover_j_kg01,right_ehi,False
1.0,False,enhanced_stretching_potential,esp,False
1.0,True,equilibrium_level_m_agl,elhght,False
1.0,False,fosberg_fire_weather_index,fosberg,False
1.0,True,height_0celsius_m_agl,hght0c,False
1.0,True,height_m10celsius_m_agl,hghtm10c,False
1.0,True,height_m20celsius_m_agl,hghtm20c,False
1.0,True,height_m30celsius_m_agl,hghtm30c,False
1.0,False,k_index_kelvins,k_idx,False
0.001,False,lapse_rate_0to3km_agl_k_m01,lapserate_3km,False
0.001,False,lapse_rate_3to6km_agl_k_m01,lapserate_3_6km,False
0.001,False,lapse_rate_700to500mb_k_m01,lapserate_700_500,False
0.001,False,lapse_rate_850to500mb_k_m01,lapserate_850_500,False
1.0,False,large_hail_param,lhp,False
1.0,True,level_of_free_convection_m_agl,lfchght,False
1.0,True,lifted_index_column_max,limax,False
1.0,True,lifted_index_surface_to_300mb,li3,False
1.0,True,lifted_index_surface_to_500mb,li5,False
1.0,True,lifting_condensation_level_m_agl,lclhght,False
1.0,True,max_parcel_level_m_agl,mplhght,False
0.01,False,mcs_maintenance_probability,mmp,False
1.0,False,microburst_composite_param,mburst,False
0.001,False,mixing_ratio_0to100mb_agl,mean_mixr,False
1.0,False,pbl_depth_metres,pbl_depth,False
25.4,False,precipitable_water_mm,pwat,False
0.01,False,relative_humidity_0to1km_agl,rh01km,False
0.01,False,relative_humidity_0to150mb_agl,low_rh,False
0.01,False,relative_humidity_150to350mb_agl,mid_rh,False
0.01,False,relative_humidity_pbl,pblrh,False
0.01,False,relative_humidity_surface,sfc_rh,False
1.0,False,sherb_param,sherb,False
1.0,False,significant_hail_param,ship,False
1.0,False,significant_severe_param,sig_severe,False
1.0,False,srh_0to1km_agl_j_kg01,srh1km,False
1.0,False,srh_0to3km_agl_j_kg01,srh3km,False
1.0,False,srh_left_mover_j_kg01,left_esrh,False
1.0,False,srh_right_mover_j_kg01,right_esrh,False
0.514444444444,False,srw_0to1km_agl_m_s01,srw_1km,True
0.514444444444,False,srw_0to2km_agl_m_s01,srw_0_2km,True
0.514444444444,False,srw_0to3km_agl_m_s01,srw_3km,True
0.514444444444,False,srw_4to5km_agl_m_s01,srw_4_5km,True
0.514444444444,False,srw_4to6km_agl_m_s01,srw_4_6km,True
0.514444444444,False,srw_0to6km_agl_m_s01,srw_6km,True
0.514444444444,False,srw_0to8km_agl_m_s01,srw_8km,True
0.514444444444,False,srw_9to11km_agl_m_s01,srw_9_11km,True
0.514444444444,False,srw_effective_bulk_layer_m_s01,srw_ebw,True
0.514444444444,False,srw_effective_layer_m_s01,srw_eff,True
0.514444444444,False,srw_lcl_to_el_m_s01,srw_lcl_el,True
1.0,False,storm_velocity_m_s01,storm_velocity_m_s01,True
1.0,False,stp_effective_layer,stp_cin,False
1.0,False,stp_fixed_layer,stp_fixed,False
1.0,False,supercell_composite_param_left_mover,left_scp,False
1.0,False,supercell_composite_param_right_mover,right_scp,False
1.0,False,sweat_index,sweat,False
1.0,False,theta_e_difference_kelvins,thetae_diff,False
1.0,False,theta_e_index_kelvins,tei,False
1.0,False,total_totals_kelvins,totals_totals,False
1.0,False,updraft_tilt_deg,updraft_tilt,False
1.0,False,vertical_totals_kelvins,v_totals,False
1.0,False,wind_damage_param,wndg,False
0.514444444444,False,wind_difference_ebl_m_s01,ebwd,True
0.514444444444,False,wind_max_pbl_m_s01,pblmaxwind,True
0.514444444444,False,wind_mean_0to1km_agl_m_s01,mean_1km,True
0.514444444444,False,wind_mean_0to3km_agl_m_s01,mean_3km,True
0.514444444444,False,wind_mean_0to6km_agl_m_s01,mean_6km,True
0.514444444444,False,wind_mean_0to8km_agl_m_s01,mean_8km,True
0.514444444444,False,wind_mean_ebl_m_s01,mean_ebw,True
0.514444444444,False,wind_mean_effective_layer_m_s01,mean_eff,True
0.514444444444,False,wind_mean_lcl_to_el_m_s01,mean_lcl_el,True
0.514444444444,False,wind_mean_pbl_m_s01,meanwindpbl,True
0.514444444444,False,wind_shear_0to1km_agl_m_s01,sfc_1km_shear,True
0.514444444444,False,wind_shear_0to3km_agl_m_s01,sfc_3km_shear,True
0.514444444444,False,wind_shear_0to6km_agl_m_s01,sfc_6km_shear,True
0.514444444444,False,wind_shear_0to8km_agl_m_s01,sfc_8km_shear,True
0.514444444444,False,wind_shear_0to9km_agl_m_s01,sfc_9km_shear,True
0.514444444444,False,wind_shear_effective_layer_m_s01,eff_shear,True
0.514444444444,False,wind_shear_lcl_to_el_m_s01,lcl_el_shear,True
